label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
Bits & Bäume – Konferenz 2022			20220930	20221002	Bits & Bäume – Konferenz 2022	Bits & Bäume 2022		https://bits-und-baeume.org/konferenz/de	offline	/img/eventbanners/2022/2022-bitsbaueme.jpg	Berlin		Technische Universität Berlin	https://www.openstreetmap.org/way/40451892#map=19/52.51385/13.32577	52.51385	13.32577		<p>Die Konferenz für Digitalisierung und Nachhaltigkeit: 30. September bis 2. Oktober 2022 an der TU Berlin</p> <p> Nach der erfolgreichen ersten Bits & Bäume-Konferenz 2018 sind die Themen Digitalisierung und Nachhaltigkeit heute in unserer Gesellschaft so präsent wie nie zuvor. Wir stehen vor großen gesellschaftlichen und globalen Herausforderungen für eine gerechte und nachhaltige Gestaltung unserer (Um-)Welt. Deshalb möchten wir mit der Konferenz Bits & Bäume 2022 vom 01. bis 2. Oktober 2022 die Vernetzung von Umwelt- und Gerechtigkeitsaktivist*innen, Technikexpert*innen und Menschenrechtler*innen verbreitern und verstetigen. Eine Auftaktveranstaltung wird am Abend des 30. September stattfinden. Dazu gehört auch die Vernetzung unserer Communities mit Vertreter*innen sozial-ökologisch wirtschaftender kleiner Digital-Unternehmen und -Gründer*innen sowie der Politik, um gemeinsam konkrete Lösungen für die drängenden Fragen unserer Zeit zu finden. Wir wollen große politische Strategien und Governance-Vorschläge diskutieren, aber auch anhand von Best-Practice-Beispielen voneinander lernen, wie wir im digitalen Zeitalter Klima- und Umweltschutz, soziale Gerechtigkeit, Demokratie und Grundrechte verwirklichen können. </p> <p>Gemeinsam wollen wir auf Podien, in Workshops und Open Spaces diskutieren:</p>  <ul> <li>Wie kann die Digitalisierung so gestaltet werden, dass sie zu einer nachhaltigen und demokratischen Transformation der Gesellschaft beiträgt?</li> <li>Wie sieht eine global, wirtschaftlich, sozial und ökologisch gerechte Zukunft in der digitalisierten Welt aus?</li> <li>Was können Tech-Community (Bits) und Gerechtigkeits- und Umweltbewegung (Bäume) voneinander lernen? Und wie können sie als Zivilgesellschaft in einen organisierten Austausch mit sozial-ökologischen Vorreiter-Unternehmen, Wissenschaft und Politik treten?</li> <li>Wie können wir gemeinsam politisch aktiv werden?</li> </ul> 			Community Event			https://events.fairetickets.de/gedlv/		DE																							
								http://openrheinruhr.de/																																									
								https://bits-und-baeume.org/en																																									
								https://trans.hackmeeting.org/																																									
								https://x.fosdem.org/																																									
4th RISC-V Meeting			20220503	20220504	4th RISC-V Meeting			https://open-src-soc.org/2022-05/program-riscv-meeting.html		/img/eventbanners/2022/2022-RISC-V-Week.jpg	Paris	FR	Centre International de Conférences, Jussieu Campus	https://www.openstreetmap.org/way/678136660	48.84643	2.35665		<p>3 days on RISC-V and Open-Source Hardware!</p><p>From the start, the main objective of these events was to gather together hardware and software communities that could benefit from new collaborations enabled by the advent of open source hardware. If RISC-V was the triggering initiatve for the first people involved in the Meetings and then the Week, the expansion of open source in all aspects of hardware development was quickly seen as a game changer and taken into account.</p>					85 € (online) – 340 €	https://open-src-soc.org/2022-05/registration.html			CEA & IRT-Nanoelec								UTC+2														
RISC-V International Day			20220505	20220505	RISC-V International Day			https://open-src-soc.org/2022-05/program-riscv-international-day.html		/img/eventbanners/2022/2022-RISC-V-Week.jpg	Paris	FR	Centre International de Conférences, Jussieu Campus	https://www.openstreetmap.org/way/678136660	48.84643	2.35665		<p>3 days on RISC-V and Open-Source Hardware!</p><p>From the start, the main objective of these events was to gather together hardware and software communities that could benefit from new collaborations enabled by the advent of open source hardware. If RISC-V was the triggering initiatve for the first people involved in the Meetings and then the Week, the expansion of open source in all aspects of hardware development was quickly seen as a game changer and taken into account.</p>					85 € (online) – 340 €	https://open-src-soc.org/2022-05/registration.html			RISC-V International								UTC+2														
TYPO3Camp Vienna			20220422	20220424	TYPO3Camp Vienna			https://www.typo3camp.at/		/img/eventbanners/2022/2022-typo3campvienna.svg	Vienna	AT	University of Vienna	https://www.openstreetmap.org/relation/1441683	48.21311	16.35999		Join us at the heart of Europe! TYPO3Camp Vienna means 2.5 days of networking, learning, socializing, and connecting. Present yourself as a freelancer or company: Give a talk, organize a session!			Barcamp	Typo3	80 - 135 €	https://www.xing-events.com/t3cvie22.html				TYPO3 Certifications, Vienna sightseeing																					
VVOID CAMP			20220818	20220821	VVOID CAMP			https://www.vvoid.camp/		/img/eventbanners/2022/2022-vvoid.png	Per­les­reut	DE	Zeltplatz Messerschmidmühle 	https://www.openstreetmap.org/way/144592196	48.77274	13.46760		<p>Habt ihr auch so große Sehnsucht nach tollen Chaos Veranstaltungen wie wir? Nach dem Austausch mit netten Menschen, nach Fachsimpeln, Abhängen und Rumnerden? Nach den tollen Erfahrungen im Sommer 2020 und 2021 können wir euch jetzt verraten: 2022 wird es wieder ein VVoid Camp geben.</p><p>Lange Gespräche am Lagerfeuer, Hacken im Wald, Siebdrucken, Musikhören unterm Sternenhimmel, Zelten und mehr. Vom 18.08.2022 - 21.08.2022 ist es wieder soweit. Ihr habt ganz richtig gelesen: weil es 2021 so schön war, gibt es auch 2022 wieder vier Tage lang die Gelegenheit, zusammen zu chillen, zu hacken und neue Dinge zu lernen. Gecampt wird wieder im Bayerischen Wald (sprich: VVoid) in der Nähe von Passau.</p>			Camping		65,00 €			DE	hinterVVoidler e.V.	Ewiges Frühstück, barrierefrei, Siebdruck, Lagerfeuer																					
WORLD.PARTY2K22			20221010	20221016	WORLD.PARTY2K22			https://worldparty.hackmadrid.org/index.html	online	/img/eventbanners/2022/2022-world.party.png			On the Internet					Este año el colectivo %27 realiza el primer evento mundial distribuido, la WorldParty2k22. Siendo precedida por otros eventos como Linux.Party->2018, Tech.Party->2019, WorldParty2020 y WorldParty2k21, que ayudaron a difundir al mundo, la posibilidad de construir una comunidad en su localidad para motivar la creación de una red de comunidades de hacking afines a los principios y objetivos del colectivo %27, como son la difusión del conocimiento, el pensamiento crítico y científico en un marco de plena libertad de pensamiento y expresión, estimulando la experimentación, mediante proyectos basados en el software y hardware libre, con un objetivo de bien público y social. Esta vez, el sábado 15 de Octubre cada comunidad %27 realizará un evento presencial en su localidad, por ejemplo, HackMadrid%27 realizará un evento presencial en Madrid, de manera adicional, independiente del lugar, el resto de los días del evento habrá una actividad en Radio%27 (https://anchor.fm/radio27) retransmitida por streaming. 	20221015	https://worldparty.hackmadrid.org/c4p.html						ES																							
matrix SUMMIT Berlin			20220825	20220828	matrix SUMMIT Berlin			https://cfp.summit2022.matrixmeetup.de/matrix-summit-conference-2022/			Berlin	DE	C-base	https://www.openstreetmap.org/node/260050809	52.51298	13.42012		Matrix is an open network for secure, decentralised communication. At the community-organised Matrix Summit, we will provide a place to meet and exchange knowledge for all levels of experience. Join us from Thu, 25th to Sun, 28 August 2022!		https://cfp.summit2022.matrixmeetup.de/matrix-summit-conference-2022/	Community Event	Matrix	0 – 149 €	https://tickets.summit2022.matrixmeetup.de/matrix-meetup-berlin/summit2022/		EN	Volunteers																	#matrix-berlin					
Wikimedia Summit 2022			20220909	20220911	Wikimedia Summit 2022			https://meta.wikimedia.org/wiki/Wikimedia_Summit_2022	hybrid	/img/eventbanners/2022/2022-Wikimedia-Summit_black.svg.png	Berlin	DE	Bildungs- und Kulturzentrum Peter Edel 	https://www.openstreetmap.org/way/36810472	52.55095	13.46152		The Wikimedia Summit is the place for Affiliates and the Wikimedia Foundation to come together to discuss and shape the future of the Wikimedia Movement. The 2022 event will be designed around the implementation of the 2030 Movement Strategy. It will be a platform to advance the governance reform of the Wikimedia Movement, aligned with the ongoing drafting process of the Movement Charter. It will also be a place to connect better the global, regional, and local implementation of Movement Strategy programmatic initiatives. The event will serve as a working meeting with room for facilitated discussions and decisions. It will also provide space for connecting, celebrating, learning, and planning for the future. 						https://meta.wikimedia.org/wiki/Wikimedia_Summit_2022/Registration		EN	Wikimedia																						
Open Source Experience			20221108	20221109	Open Source Experience			https://www.opensource-experience.com/		/img/eventbanners/2022/2022-osxp.png	Paris	FR	Palais des congrès	https://www.openstreetmap.org/relation/3074644	48.87941	2.28359		<p>Supported by Systematic Paris Region, the Open Source Experience is the meeting place for the entire open source software industry, bringing together more than 4,500 professionals over two days! A place for technological exchanges, meetings and business opportunities dedicated to open source and to all the players in the open source sector.</p><p>Open Source Experience focuses on open source technologies, solutions and challenges in France and Europe, and highlights the driving role of open source innovations in the digital transformation of companies in technologies such as AI, IoT, Cloud and Blockchain.</p><p>Showcasing the technological excellence and economic dynamism of the French and Ile-de-France open source industry (with €5 billion, France is the largest European market), the event is also an international community event, bringing together global technology players, professional associations of Open Source software, companies and administrations, a vast network of SMEs and research organizations.</p><p>Perceived as an asset to the European digital industry, Open Source is present in all industrial sectors for which it is a powerful gas pedal of innovation and a driver of digital transformation. Its technological bricks are found everywhere and serve the challenges of digital transformation, particularly those linked to societal and environmental challenges.</p><p>A programme of talks full of shared experience and innovation. It’s sure to bring together the open source community and user companies looking for information on this major driver of innovation.</p><p>An exhibition space to find out about solutions, meet other members of the community</p>			Business Event		Free	https://www.opensource-experience.com/en/pre-register/		EN				inria; BlueMind; GoFAST; EclipseFoundation; RedHat																			
DrupalCamp Oslo 2022			20221104	20221105	DrupalCamp Oslo 2022			https://oslo2022.drupalcamp.no/	offline		Oslo	NO	Karl Johans gate	https://www.openstreetmap.org/node/8741102161	59,911377	10,749404		DrupalCamp is an event that gathers Drupal enthusiasts from Norway and the rest of the world to learn, share, and be inspired about Drupal specifically, and the web in general. A day full of talks and technical discussions where people can share their skills and experience, and a cooperative sprint on Sunday. Programmers, designers, web developers, web editors, marketers - everyone will be able to find something of interest.			Community Event	Drupal	52.50 kr	https://www.eventbrite.com/e/drupalcamp-oslo-2022-tickets-414528454767		NO																							
